version,2022.2-SP6.4<build 146967>
project name,sparrow_RISCV.pds

Single Seed:
Seed,State,Convergence,Setup(Slow),Setup(Fast),Hold(Slow),Hold(Fast),Recovery(Slow),Recovery(Fast),Removal(Slow),Removal(Fast),PBM-GP,PBM-PreGP,PBM-PostGP,LP,Total Placement Cpu Time,Detailed routing,Total Routing Cpu Time,Wire Length After Post-GP,Wire Length After LP,Wire Length After DP,Routing Arc Length,Worst Slack After GP Timing,Worst Slack After LP Timing,Worst Slack Before RP,Worst Slack Before DP,Worst Slack After DP,Worst Slack After Placement,Worst Slack After TA By Preroute,TNS After DP,TNS Before Route,Setup(Slow) Total Failing TNS,Setup(Slow) Total Failing Endpoints,Hold(Slow) Total Failing THS,Hold(Slow) Total Failing Endpoints,Power
single,OK,Fail,-31.650,-17.551,0.074,0.050,-6.704,-4.915,0.323,0.170,NA,NA,NA,2.53,117.30,101.45,151.59,NA,NA,NA,360742,NA,NA,-34507,-34507,-29436,-29444,NA,-5521912,-7803880,-6019.729,1579,0.000,0,NA
Pass Rate/Convergence Rate,100.00%,0.00%

Synthesize:
control_set,591
Synthesize Performance Summary:
slack category,Synthesize Setup WNS,Synthesize Setup TNS,Synthesize Recovery WNS,Synthesize Recovery TNS
slack value,-31.226,-9193.501,-8.595,-11391.884
Synthesize Process Cpu Time,0h:2m:7s

Device Map:
Device Map Resource Usage Summary:
Logic Utilization,LUT,FF,DRM,APM,Distributed RAM,HSSTHP,USCM,HCKB,RCKB
Used,18863,13314,155,11,2492,NA,8,0,2
Available,66600,133200,155,240,19900,NA,32,96,24
Utilization(%),29%,10%,100%,5%,13%,NA,25%,0%,9%
Device Map Process Cpu Time,0h:0m:26s

Project Configurations:
top module,system_top
compile,
synthesize," -ads "
device map,
place & route,

Test Parameters Configurations:
testparam,

